Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,Ivory Coast,Ecuador,2026-06-15,00:00:00,1,0,0,0,1,0,,,,,90 minutes,15,12,4,1,10,13,3,5,3,1,0,0,1.52,1.02,3.25,2.9,2.45,3.45,3.0,2.62,3.35,3.0,2.56,3.22,2.89,2.45,0.2916750771360189,0.32498053577092767,0.3833443870930534
World Cup 2026,Sweden,Tunisia,2026-06-15,03:00:00,5,1,2,1,3,0,,,,,90 minutes,13,6,7,2,10,8,4,2,0,1,0,0,1.34,0.27,1.85,3.4,4.33,1.95,3.5,4.8,1.94,3.55,4.6,1.85,3.4,4.36,0.5080191912268677,0.2764222069910898,0.2155586017820425
World Cup 2026,Spain,Cape Verde,2026-06-15,17:00:00,0,0,0,0,0,0,,,,,90 minutes,27,6,7,1,10,1,11,1,1,1,0,0,2.1,0.21,1.07,13.0,26.0,1.1,14.5,36.0,1.1,14.0,32.0,1.08,11.58,26.2,0.8814567412283149,0.08220840073631952,0.03633485803536565
World Cup 2026,Belgium,Egypt,2026-06-15,20:00:00,1,1,0,1,1,0,,,,,90 minutes,15,14,3,3,15,15,2,7,2,2,0,0,1.35,1.08,1.5,4.2,6.5,1.54,4.4,7.6,1.57,4.3,6.9,1.51,4.14,6.22,0.6220841466478558,0.22689542546817928,0.151020427883965
World Cup 2026,Saudi Arabia,Uruguay,2026-06-15,23:00:00,1,1,1,0,0,1,,,,,90 minutes,7,27,3,10,11,6,4,14,1,0,0,0,0.66,1.72,7.5,4.0,1.5,8.4,4.3,1.53,8.0,4.25,1.5,7.5,4.11,1.46,0.12559967849697334,0.2291964936076156,0.645203827895411
World Cup 2026,Iran,New Zealand,2026-06-16,02:00:00,2,2,1,1,1,1,,,,,90 minutes,17,14,4,8,10,8,4,1,1,0,0,0,1.5,1.24,1.85,3.4,4.5,1.91,3.6,5.0,1.87,3.5,5.0,1.81,3.37,4.7,0.5202376690304378,0.27941548395996807,0.20034684700959413
World Cup 2026,France,Senegal,2026-06-16,20:00:00,3,1,0,0,3,1,,,,,90 minutes,11,6,8,2,5,9,6,4,0,0,0,0,1.78,0.53,1.48,4.5,6.5,1.52,4.6,7.6,1.52,4.55,7.2,1.47,4.41,6.42,0.6400797607178466,0.21335992023928216,0.1465603190428714
World Cup 2026,Iraq,Norway,2026-06-16,23:00:00,1,4,1,2,0,2,,,,,90 minutes,11,12,1,5,12,13,2,5,1,0,0,0,0.8,2.52,12.0,7.0,1.2,15.5,7.2,1.25,15.0,7.5,1.24,13.1,6.5,1.21,0.07224477798394356,0.14560101409071702,0.7821542079253393
World Cup 2026,Argentina,Algeria,2026-06-17,02:00:00,3,0,1,0,2,0,,,,,90 minutes,10,7,6,0,13,8,2,2,0,0,0,0,1.26,0.33,1.55,4.0,6.5,1.58,4.2,7.4,1.55,4.2,7.1,1.51,4.06,6.48,0.6230739717981632,0.23173440823035135,0.14519161997148555
World Cup 2026,Austria,Jordan,2026-06-17,05:00:00,3,1,1,0,2,1,,,,,90 minutes,11,11,4,4,12,7,4,3,1,0,0,0,1.69,0.46,1.4,4.75,8.0,1.43,5.0,9.6,1.4,4.8,9.2,1.38,4.69,8.33,0.684974042391291,0.20154886535180838,0.11347709225690053
World Cup 2026,Portugal,DR Congo,2026-06-17,18:00:00,1,1,1,1,0,0,,,,,90 minutes,7,8,1,2,9,10,5,4,3,1,0,0,0.65,0.87,1.29,5.25,11.0,1.3,6.0,14.5,1.29,6.0,12.0,1.26,5.54,11.37,0.747241875097869,0.16995031816305325,0.08280780673907784
World Cup 2026,England,Croatia,2026-06-17,21:00:00,4,2,2,2,2,0,,,,,90 minutes,22,10,11,5,10,12,8,2,0,0,0,0,3.21,0.7,1.67,3.9,5.25,1.7,4.0,5.9,1.68,3.9,5.6,1.65,3.78,5.29,0.5719458721972902,0.24965891246707114,0.1783952153356387
World Cup 2026,Ghana,Panama,2026-06-18,00:00:00,1,0,0,0,1,0,,,,,90 minutes,8,11,2,4,9,11,2,2,1,2,0,0,1.31,0.73,2.35,3.2,3.2,2.46,3.25,3.45,2.38,3.25,3.38,2.3,3.16,3.18,0.40797700440099394,0.2969452880133816,0.2950777075856245
World Cup 2026,Uzbekistan,Colombia,2026-06-18,03:00:00,1,3,0,1,1,2,,,,,90 minutes,8,15,2,4,14,11,3,4,1,1,0,0,1.16,1.61,11.0,5.25,1.3,12.5,5.4,1.35,11.5,5.5,1.37,9.97,5.16,1.31,0.09485094470676554,0.18326820130357604,0.7218808539896583
World Cup 2026,Czech Republic,South Africa,2026-06-18,17:00:00,1,1,1,0,0,1,,,,,90 minutes,14,17,3,4,12,10,5,5,1,2,0,0,1.02,1.38,1.85,3.5,4.2,1.97,3.5,4.7,1.88,3.55,4.6,1.84,3.41,4.33,0.5090271625027148,0.27466568299266725,0.21630715450461785
World Cup 2026,Switzerland,Bosnia and Herzegovina,2026-06-18,20:00:00,4,1,0,0,4,1,,,,,90 minutes,13,5,7,3,7,18,7,3,1,2,0,1,2.06,0.23,1.53,4.0,6.5,1.58,4.3,7.0,1.55,4.2,6.5,1.52,4.12,6.15,0.6187787557022986,0.22828730792900334,0.15293393636869818
World Cup 2026,Canada,Qatar,2026-06-18,23:00:00,6,0,3,0,3,0,,,,,90 minutes,32,2,10,0,9,10,19,1,1,1,0,2,4.6,0.22,1.25,6.0,12.0,1.27,6.4,15.5,1.29,6.5,13.5,1.25,5.84,11.38,0.7553538021599332,0.16167675559930075,0.08296944224076594
