Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,Netherlands,Morocco,2026-06-30,02:00:00,1,1,0,0,1,1,0.0,0.0,2.0,3.0,Penalties,6,11,2,5,18,15,5,8,0,1,0,0,0.24,1.38,2.35,3.1,3.3,2.48,3.1,3.55,2.44,3.1,3.35,2.34,3.05,3.24,0.4016975195726934,0.3081876051803615,0.2901148752469452
World Cup 2026,Ivory Coast,Norway,2026-06-30,18:00:00,1,2,0,1,1,1,,,,,90 minutes,14,9,5,4,6,7,14,3,0,1,0,0,1.49,1.91,3.7,3.3,2.1,3.85,3.4,2.22,3.7,3.4,2.15,3.52,3.29,2.1,0.26694433926542976,0.28560610158489746,0.44744955914967266
World Cup 2026,France,Sweden,2026-06-30,22:00:00,3,0,1,0,2,0,,,,,90 minutes,25,8,12,3,14,10,9,1,0,0,0,0,3.24,0.7,1.29,5.75,10.0,1.3,6.2,12.5,1.32,6.2,11.0,1.28,5.82,9.47,0.7379556707628945,0.16229952896503522,0.09974480027207021
World Cup 2026,Mexico,Ecuador,2026-07-01,02:00:00,2,0,2,0,0,0,,,,,90 minutes,15,7,3,1,10,14,3,8,0,3,0,1,1.05,0.75,2.3,2.7,4.1,2.34,2.84,4.4,2.32,2.83,4.1,2.25,2.75,3.9,0.4175182481751824,0.3416058394160584,0.24087591240875914
World Cup 2026,England,DR Congo,2026-07-01,17:00:00,2,1,0,1,2,0,,,,,90 minutes,16,7,7,2,10,12,5,3,1,1,0,0,2.15,0.77,1.29,5.25,13.0,1.31,5.4,17.0,1.32,5.25,14.0,1.28,5.09,12.09,0.7367317741848589,0.18526850117025925,0.07799972464488168
World Cup 2026,Belgium,Senegal,2026-07-01,21:00:00,2,2,0,1,2,1,1.0,0.0,,,Extra time,19,19,5,5,22,12,4,2,1,1,0,0,1.75,3.58,1.91,3.4,4.2,2.0,3.55,4.4,2.0,3.55,4.25,1.92,3.39,4.02,0.4892407108239095,0.277092084006462,0.23366720516962844
World Cup 2026,United States,Bosnia and Herzegovina,2026-07-02,01:00:00,2,0,1,0,1,0,,,,,90 minutes,8,10,2,3,7,13,4,3,0,1,1,0,0.88,0.25,1.33,5.25,9.0,1.39,5.4,10.0,1.37,5.3,9.2,1.34,5.07,8.44,0.7027073185952027,0.18572540570366305,0.11156727570113409
World Cup 2026,Spain,Austria,2026-07-02,20:00:00,3,0,1,0,2,0,,,,,90 minutes,23,5,10,0,8,15,9,0,0,1,0,0,2.8,0.32,1.33,5.0,10.0,1.37,5.3,11.5,1.35,5.25,11.5,1.33,5.04,9.53,0.7125307635593308,0.1880289514948234,0.09944028494584577
World Cup 2026,Portugal,Croatia,2026-07-03,00:00:00,2,1,0,0,2,1,,,,,90 minutes,15,13,3,6,6,12,9,5,1,2,0,0,2.2,1.34,1.7,3.6,5.5,1.73,3.8,6.0,1.74,3.75,5.5,1.67,3.67,5.23,0.563585860217106,0.25645460124320624,0.17995953853968774
World Cup 2026,Switzerland,Algeria,2026-07-03,04:00:00,2,0,1,0,1,0,,,,,90 minutes,11,8,5,2,10,12,4,2,0,2,0,0,2.45,0.74,1.95,3.1,4.5,2.04,3.3,4.7,2.05,3.3,4.6,1.95,3.18,4.24,0.48236632536973834,0.2957906712172923,0.22184300341296923
World Cup 2026,Australia,Egypt,2026-07-03,19:00:00,1,1,0,1,1,0,0.0,0.0,2.0,4.0,Penalties,16,14,1,3,12,14,4,7,0,2,0,0,0.84,1.33,3.6,2.88,2.35,3.85,2.92,2.48,3.74,2.9,2.45,3.5,2.81,2.37,0.2686478658475092,0.3346147795253674,0.39673735462712334
World Cup 2026,Argentina,Cape Verde,2026-07-03,23:00:00,1,1,1,0,0,1,2.0,1.0,,,Extra time,22,16,10,5,13,12,8,8,1,1,0,0,2.26,0.47,1.14,8.0,19.0,1.15,9.6,30.0,1.15,9.5,23.5,1.13,8.13,20.16,0.8367899892019391,0.11630660366521416,0.04690340713284678
World Cup 2026,Colombia,Ghana,2026-07-04,02:30:00,1,0,1,0,0,0,,,,,90 minutes,20,8,8,0,14,10,3,2,2,3,0,0,2.04,0.27,1.45,4.1,8.5,1.47,4.4,10.0,1.48,4.4,9.2,1.42,4.19,8.13,0.6606922929221031,0.22391003721942393,0.11539766985847309
World Cup 2026,Canada,Morocco,2026-07-04,18:00:00,0,3,0,0,0,3,,,,,90 minutes,10,5,3,4,24,14,11,1,4,4,0,0,0.84,0.82,5.0,3.25,1.83,5.6,3.35,1.89,5.25,3.4,1.89,4.89,3.26,1.82,0.19279661016949157,0.28919491525423735,0.5180084745762712
World Cup 2026,Paraguay,France,2026-07-04,22:00:00,0,1,0,0,0,1,,,,,90 minutes,5,15,0,5,13,11,2,12,0,3,0,0,0.13,1.46,17.0,6.5,1.18,22.0,7.0,1.22,18.0,6.75,1.22,14.94,6.37,1.2,0.06330969572585013,0.1484845924873157,0.7882057117868342
World Cup 2026,Brazil,Norway,2026-07-05,21:00:00,1,2,0,0,1,2,,,,,90 minutes,14,9,4,5,7,6,5,5,1,0,0,0,2.62,1.06,1.75,3.6,4.75,1.82,3.85,5.1,1.8,3.9,4.85,1.75,3.68,4.55,0.5375884930891112,0.25564670187661537,0.20676480503427352
World Cup 2026,Mexico,England,2026-07-06,02:00:00,2,3,1,2,1,1,,,,,90 minutes,20,6,5,5,14,7,12,2,2,4,0,1,1.88,1.61,3.0,3.0,2.6,3.15,3.15,2.68,3.1,3.15,2.62,2.98,3.0,2.52,0.31487405037984806,0.3127748900439824,0.3723510595761695
World Cup 2026,Portugal,Spain,2026-07-06,20:00:00,0,1,0,0,0,1,,,,,90 minutes,10,15,2,6,9,13,3,7,2,1,0,0,0.63,1.68,3.9,3.5,1.95,4.2,3.6,2.04,3.9,3.6,2.0,3.78,3.47,1.96,0.24888570111173727,0.27112044674419794,0.4799938521440647
World Cup 2026,United States,Belgium,2026-07-07,01:00:00,1,4,1,2,0,2,,,,,90 minutes,7,15,2,7,11,9,3,5,2,0,0,0,0.63,2.01,2.55,3.2,2.9,2.7,3.3,3.0,2.6,3.4,2.94,2.52,3.19,2.83,0.3730747455378728,0.29471735384183056,0.33220790062029665
World Cup 2026,Argentina,Egypt,2026-07-07,17:00:00,3,2,0,1,3,1,,,,,90 minutes,19,5,7,2,13,11,6,1,0,4,0,0,2.84,0.89,1.33,4.75,11.0,1.37,5.0,13.5,1.35,5.0,12.0,1.32,4.72,10.6,0.7121546835500694,0.19916190302671435,0.0886834134232162
World Cup 2026,Switzerland,Colombia,2026-07-07,21:00:00,1,0,0,0,0,0,0.0,0.0,4.0,3.0,Penalties,7,15,2,3,22,21,3,7,3,2,0,0,0.38,1.09,3.6,2.88,2.35,3.8,2.98,2.46,3.7,3.0,2.47,3.48,2.86,2.34,0.26998112020138454,0.32850849590937703,0.40151038388923854
