Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,bet365-H,bet365-D,bet365-A,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2014,USA,Germany,2014-06-26,17:00:00,0,1,0,0,0,1,,,,,90 minutes,4,13,1,9,15,9,2,3,2,1,0,0,9.0,3.2,1.67,8.83,3.23,1.68,9.1,4.33,1.7,8.22,3.12,1.66,0.1164629374780755,0.30683504681723733,0.5767020157046872
World Cup 2014,Ecuador,France,2014-06-25,21:00:00,0,0,0,0,0,0,,,,,90 minutes,11,20,7,13,17,6,1,7,1,0,1,0,6.0,4.2,1.62,5.48,4.29,1.65,6.0,4.33,1.85,5.44,4.07,1.62,0.1756039097664261,0.23471382533890858,0.5896822648946654
World Cup 2014,Honduras,Switzerland,2014-06-25,21:00:00,0,3,0,2,0,1,,,,,90 minutes,13,16,6,13,17,18,8,1,1,0,0,0,7.5,4.5,1.5,6.99,4.54,1.52,7.5,4.8,1.57,6.92,4.4,1.49,0.13856129583132554,0.2179191288983574,0.6435195752703172
World Cup 2014,Bosnia & Herzegovina,Iran,2014-06-25,17:00:00,3,1,1,0,2,1,,,,,90 minutes,13,7,9,5,20,17,6,5,1,1,0,0,2.2,3.6,3.4,2.21,3.65,3.42,2.3,3.75,5.5,2.18,3.52,3.33,0.43975899094340193,0.272350738709266,0.2878902703473322
World Cup 2014,Nigeria,Argentina,2014-06-25,17:00:00,2,3,1,2,1,1,,,,,90 minutes,12,18,7,13,17,6,4,12,2,0,0,0,10.0,4.33,1.44,10.35,4.34,1.44,10.5,5.0,1.55,9.37,4.19,1.43,0.10215835679126221,0.22845436828976776,0.66938727491897
World Cup 2014,Greece,Ivory Coast,2014-06-24,21:00:00,2,1,1,0,1,1,,,,,90 minutes,13,13,5,9,13,23,4,7,0,3,0,0,4.1,3.7,1.95,4.15,3.68,1.97,4.55,3.8,2.3,3.92,3.56,1.97,0.24444072664408106,0.26915945181033646,0.48639982154558253
World Cup 2014,Japan,Colombia,2014-06-24,21:00:00,1,4,1,1,0,3,,,,,90 minutes,23,13,13,9,10,19,9,2,1,1,0,0,3.5,3.8,2.1,3.45,3.74,2.16,4.33,3.9,2.17,3.44,3.68,2.07,0.2780389523169913,0.2599059771658831,0.4620550705171256
World Cup 2014,Costa Rica,England,2014-06-24,17:00:00,0,0,0,0,0,0,,,,,90 minutes,4,8,3,3,17,17,3,7,1,2,0,0,4.75,4.1,1.75,4.71,4.06,1.78,7.0,4.33,1.85,4.52,3.96,1.76,0.21233243967828416,0.2423592493297587,0.5453083109919571
World Cup 2014,Italy,Uruguay,2014-06-24,17:00:00,0,1,0,0,0,1,,,,,90 minutes,9,14,5,9,19,20,3,3,2,2,1,0,2.6,3.6,2.75,2.62,3.63,2.75,2.69,3.65,2.9,2.53,3.44,2.76,0.3770551698940446,0.2773109243697479,0.34563390573620756
World Cup 2014,Cameroon,Brazil,2014-06-23,21:00:00,1,4,1,2,0,2,,,,,90 minutes,12,19,6,18,14,19,6,7,3,0,0,0,26.0,10.0,1.13,27.0,9.8,1.14,29.0,11.0,1.18,21.53,9.45,1.13,0.04477998741119799,0.10202255332942782,0.8531974592593742
World Cup 2014,Croatia,Mexico,2014-06-23,21:00:00,1,3,0,0,1,3,,,,,90 minutes,10,12,5,7,18,12,7,9,1,2,1,0,2.75,3.6,2.63,2.74,3.64,2.63,2.8,3.75,2.76,2.68,3.43,2.61,0.3561049344656815,0.27823942401400187,0.36565564152031665
